timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1537456270.027475,0.167327,0.594228,-0.533971,0.208387,0.372740,-0.008469,0.137998,-0.559869,-0.817009,-0.029508,-0.070502,0.132286,26.069111,-17.998215,-38.802612,,,,,,,
1537456270.057343,0.186938,0.598974,-0.536449,0.211197,0.553838,-0.068175,0.153497,-0.563795,-0.811525,0.090735,-0.047411,-0.037581,26.350647,-18.002102,-38.278137,,,,,,,
1537456270.087210,0.192758,0.608056,-0.538857,0.284224,-0.082137,-0.001616,0.157230,-0.571273,-0.805559,0.033398,-0.003846,-0.050459,26.692057,-18.138683,-37.876587,,,,,,,
1537456270.117076,0.191937,0.612542,-0.540023,0.081481,0.005738,-0.012077,0.156078,-0.574949,-0.803164,-0.033871,0.022810,0.004077,26.697313,-18.485973,-38.026917,,,,,,,
1537456270.146943,0.200167,0.615021,-0.540500,0.124586,0.419803,0.001190,0.162399,-0.576976,-0.800454,-0.036544,0.029261,0.028328,26.842741,-18.542458,-37.819763,,,,,,,
1537456270.176810,0.214063,0.620797,-0.542756,0.249683,0.330250,-0.046697,0.172795,-0.581684,-0.794850,0.000850,0.017963,-0.028148,26.985905,-18.600983,-37.567993,,,,,,,
1537456270.206678,0.222062,0.628086,-0.549797,0.303295,0.021766,-0.213554,0.178209,-0.587597,-0.789285,-0.011720,0.031093,-0.022314,27.374031,-18.852913,-37.128235,,,,,,,
1537456270.236545,0.232918,0.634203,-0.558137,0.243916,0.306070,-0.162394,0.185934,-0.592536,-0.783792,-0.029943,0.001411,-0.004859,27.805548,-19.090797,-36.783936,,,,,,,
1537456270.266412,0.248598,0.641723,-0.566987,0.388299,0.392554,-0.182110,0.197099,-0.598577,-0.776439,-0.018327,0.014440,-0.019596,28.199923,-19.444496,-36.526001,,,,,,,
1537456270.296279,0.267219,0.653606,-0.577264,0.506765,0.360231,-0.180113,0.209628,-0.608053,-0.765720,0.018308,0.014242,-0.016522,28.668520,-19.732574,-36.101440,,,,,,,
1537456270.326146,0.284372,0.667855,-0.589377,0.448285,0.346248,-0.094207,0.220278,-0.619303,-0.753619,0.016721,-0.075368,0.002810,28.857513,-20.049385,-35.658875,,,,,,,
1537456270.356014,0.299508,0.675022,-0.590835,0.164690,0.556044,0.056660,0.230344,-0.624915,-0.745938,0.006015,-0.044244,0.044858,29.265730,-20.309902,-35.032349,,,,,,,
